127.0.0.1 - - [08/Aug/2016:23:22:35 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:22:37 -0300] "GET /Vendas/Home.xhtml HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:22:37 -0300] "GET /Vendas/javax.faces.resource/styles/layout.css.xhtml;jsessionid=966B421DFAD56A5BC8CCD4A91A890FA0?ln=config HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:22:38 -0300] "GET /Vendas/javax.faces.resource/images/teste.png.xhtml;jsessionid=966B421DFAD56A5BC8CCD4A91A890FA0?ln=config HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:22:38 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:22:43 -0300] "GET /Vendas/Home.xhtml;jsessionid=966B421DFAD56A5BC8CCD4A91A890FA0 HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:22:43 -0300] "GET /Vendas/javax.faces.resource/styles/layout.css.xhtml?ln=config HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:22:43 -0300] "GET /Vendas/javax.faces.resource/images/teste.png.xhtml?ln=config HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:22:44 -0300] "GET /Vendas/Home.xhtml HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:22:44 -0300] "GET /Vendas/Home.xhtml HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:22:45 -0300] "GET /Vendas/Home.xhtml HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:22:45 -0300] "GET /Vendas/Home.xhtml HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:25:14 -0300] "GET /Vendas/Login.xhtml HTTP/1.1" 200 2880
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:27:23 -0300] "GET /Vendas/Login.xhtml HTTP/1.1" 200 3284
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:27:23 -0300] "GET /Vendas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:27:23 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:27:23 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:27:23 -0300] "GET /Vendas/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:27:23 -0300] "GET /Vendas/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:27:23 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:27:23 -0300] "GET /Vendas/javax.faces.resource/styles/login.css.xhtml?ln=config HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:33:16 -0300] "GET /Vendas/Login.xhtml HTTP/1.1" 200 3287
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:35:16 -0300] "GET /Vendas/Login.xhtml HTTP/1.1" 200 3306
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:35:16 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:35:16 -0300] "GET /Vendas/javax.faces.resource/styles/login.css.xhtml?ln=config HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:35:16 -0300] "GET /Vendas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:35:16 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:35:16 -0300] "GET /Vendas/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:35:16 -0300] "GET /Vendas/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:35:16 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:35:17 -0300] "GET /Vendas/Login.xhtml HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:35:17 -0300] "GET /Vendas/Login.xhtml HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [08/Aug/2016:23:35:17 -0300] "GET /Vendas/Login.xhtml HTTP/1.1" 200 3308
