127.0.0.1 - - [20/Feb/2017:19:54:46 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:54:48 -0300] "GET /Vendas/categorias/CadastroCategoria.xhtml HTTP/1.1" 200 9043
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:54:48 -0300] "GET /Vendas/javax.faces.resource/core.js.xhtml;jsessionid=08F95F5149E64C4DDD36D0FB28B7450C?ln=primefaces&v=6.0 HTTP/1.1" 200 30554
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:54:48 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=08F95F5149E64C4DDD36D0FB28B7450C?ln=primefaces&v=6.0 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:54:48 -0300] "GET /Vendas/javax.faces.resource/styles/layout.css.xhtml;jsessionid=08F95F5149E64C4DDD36D0FB28B7450C?ln=config HTTP/1.1" 200 3151
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:54:48 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=08F95F5149E64C4DDD36D0FB28B7450C?ln=primefaces&v=6.0 HTTP/1.1" 200 245797
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:54:48 -0300] "GET /Vendas/javax.faces.resource/components.js.xhtml;jsessionid=08F95F5149E64C4DDD36D0FB28B7450C?ln=primefaces&v=6.0 HTTP/1.1" 200 357791
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:54:48 -0300] "GET /Vendas/javax.faces.resource/styles/conteudo.css.xhtml;jsessionid=08F95F5149E64C4DDD36D0FB28B7450C?ln=config HTTP/1.1" 200 8929
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:54:48 -0300] "GET /Vendas/javax.faces.resource/components.css.xhtml;jsessionid=08F95F5149E64C4DDD36D0FB28B7450C?ln=primefaces&v=6.0 HTTP/1.1" 200 75403
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:54:48 -0300] "GET /Vendas/javax.faces.resource/javascripts/jquery.maskMoney.js.xhtml;jsessionid=08F95F5149E64C4DDD36D0FB28B7450C?ln=config HTTP/1.1" 200 17683
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:54:48 -0300] "GET /Vendas/javax.faces.resource/javascripts/mascaraMoeda.js.xhtml;jsessionid=08F95F5149E64C4DDD36D0FB28B7450C?ln=config HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:54:48 -0300] "GET /Vendas/javax.faces.resource/javascripts/layout.js.xhtml;jsessionid=08F95F5149E64C4DDD36D0FB28B7450C?ln=config HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:54:48 -0300] "GET /Vendas/javax.faces.resource/javascripts/navegacao.js.xhtml;jsessionid=08F95F5149E64C4DDD36D0FB28B7450C?ln=config HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:54:48 -0300] "GET /Vendas/javax.faces.resource/images/loading.gif.xhtml;jsessionid=08F95F5149E64C4DDD36D0FB28B7450C?ln=config HTTP/1.1" 200 2711
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:54:48 -0300] "GET /Vendas/javax.faces.resource/images/logo.png.xhtml;jsessionid=08F95F5149E64C4DDD36D0FB28B7450C?ln=config HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:54:49 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:55:03 -0300] "GET /Vendas/clientes/CadastroCliente.xhtml HTTP/1.1" 200 24460
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:55:03 -0300] "GET /Vendas/javax.faces.resource/images/ui-icons_333333_256x240.png.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:55:17 -0300] "POST /Vendas/clientes/CadastroCliente.xhtml HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:55:20 -0300] "POST /Vendas/clientes/CadastroCliente.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:55:34 -0300] "GET /Vendas/produtos/CadastroProduto.xhtml HTTP/1.1" 200 20567
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:55:34 -0300] "GET /Vendas/javax.faces.resource/images/ui-icons_333333_256x240.png.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:20:27:46 -0300] "GET /Vendas/produtos/CadastroProduto.xhtml HTTP/1.1" 200 20568
0:0:0:0:0:0:0:1 - - [20/Feb/2017:20:27:46 -0300] "GET /Vendas/javax.faces.resource/images/ui-icons_333333_256x240.png.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
