127.0.0.1 - - [14/Mar/2017:09:52:08 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Mar/2017:09:52:59 -0300] "GET /Vendas/javax.faces.resource/styles/layout.css.xhtml;jsessionid=45F2DF96FC953E83C900E67A4846F982?ln=config HTTP/1.1" 200 3151
0:0:0:0:0:0:0:1 - - [14/Mar/2017:09:52:59 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=45F2DF96FC953E83C900E67A4846F982?ln=primefaces&v=6.0 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [14/Mar/2017:09:52:59 -0300] "GET /Vendas/pedidos/CadastroPedido.xhtml HTTP/1.1" 200 23741
0:0:0:0:0:0:0:1 - - [14/Mar/2017:09:52:59 -0300] "GET /Vendas/javax.faces.resource/styles/conteudo.css.xhtml;jsessionid=45F2DF96FC953E83C900E67A4846F982?ln=config HTTP/1.1" 200 9605
0:0:0:0:0:0:0:1 - - [14/Mar/2017:09:52:59 -0300] "GET /Vendas/javax.faces.resource/core.js.xhtml;jsessionid=45F2DF96FC953E83C900E67A4846F982?ln=primefaces&v=6.0 HTTP/1.1" 200 30554
0:0:0:0:0:0:0:1 - - [14/Mar/2017:09:52:59 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=45F2DF96FC953E83C900E67A4846F982?ln=primefaces&v=6.0 HTTP/1.1" 200 245797
0:0:0:0:0:0:0:1 - - [14/Mar/2017:09:52:59 -0300] "GET /Vendas/javax.faces.resource/components.js.xhtml;jsessionid=45F2DF96FC953E83C900E67A4846F982?ln=primefaces&v=6.0 HTTP/1.1" 200 357791
0:0:0:0:0:0:0:1 - - [14/Mar/2017:09:52:59 -0300] "GET /Vendas/javax.faces.resource/images/loading.gif.xhtml;jsessionid=45F2DF96FC953E83C900E67A4846F982?ln=config HTTP/1.1" 200 2711
0:0:0:0:0:0:0:1 - - [14/Mar/2017:09:52:59 -0300] "GET /Vendas/javax.faces.resource/images/logo.png.xhtml;jsessionid=45F2DF96FC953E83C900E67A4846F982?ln=config HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [14/Mar/2017:09:52:59 -0300] "GET /Vendas/javax.faces.resource/components.css.xhtml;jsessionid=45F2DF96FC953E83C900E67A4846F982?ln=primefaces&v=6.0 HTTP/1.1" 200 75403
0:0:0:0:0:0:0:1 - - [14/Mar/2017:09:52:59 -0300] "GET /Vendas/javax.faces.resource/spacer/dot_clear.gif.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [14/Mar/2017:09:52:59 -0300] "GET /Vendas/javax.faces.resource/javascripts/jquery.maskMoney.js.xhtml;jsessionid=45F2DF96FC953E83C900E67A4846F982?ln=config HTTP/1.1" 200 17683
0:0:0:0:0:0:0:1 - - [14/Mar/2017:09:52:59 -0300] "GET /Vendas/javax.faces.resource/javascripts/mascaraMoeda.js.xhtml;jsessionid=45F2DF96FC953E83C900E67A4846F982?ln=config HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [14/Mar/2017:09:52:59 -0300] "GET /Vendas/javax.faces.resource/javascripts/layout.js.xhtml;jsessionid=45F2DF96FC953E83C900E67A4846F982?ln=config HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [14/Mar/2017:09:52:59 -0300] "GET /Vendas/javax.faces.resource/javascripts/navegacao.js.xhtml;jsessionid=45F2DF96FC953E83C900E67A4846F982?ln=config HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [14/Mar/2017:09:53:00 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:14:53 -0300] "POST /Vendas/pedidos/CadastroPedido.xhtml HTTP/1.1" 200 808
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:14:54 -0300] "GET /Vendas/pedidos/CadastroPedido.xhtml;jsessionid=45F2DF96FC953E83C900E67A4846F982 HTTP/1.1" 200 22905
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:14:55 -0300] "GET /Vendas/pedidos/CadastroPedido.xhtml HTTP/1.1" 200 22905
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:14:56 -0300] "GET /Vendas/pedidos/CadastroPedido.xhtml HTTP/1.1" 200 22905
0:0:0:0:0:0:0:1 - - [14/Mar/2017:14:14:57 -0300] "GET /Vendas/pedidos/CadastroPedido.xhtml HTTP/1.1" 200 22905
