127.0.0.1 - - [08/Feb/2017:23:17:19 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:17:22 -0300] "GET /Vendas/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:17:22 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:17:22 -0300] "GET /Vendas/javax.faces.resource/styles/layout.css.xhtml;jsessionid=209DDDE2091666D01E30B587FA41804F?ln=config HTTP/1.1" 200 3151
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:17:22 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=209DDDE2091666D01E30B587FA41804F?ln=primefaces&v=6.0 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:17:22 -0300] "GET /Vendas/javax.faces.resource/styles/conteudo.css.xhtml;jsessionid=209DDDE2091666D01E30B587FA41804F?ln=config HTTP/1.1" 200 8090
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:17:22 -0300] "GET /Vendas/javax.faces.resource/core.js.xhtml;jsessionid=209DDDE2091666D01E30B587FA41804F?ln=primefaces&v=6.0 HTTP/1.1" 200 30554
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:17:22 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=209DDDE2091666D01E30B587FA41804F?ln=primefaces&v=6.0 HTTP/1.1" 200 245797
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:17:22 -0300] "GET /Vendas/javax.faces.resource/components.js.xhtml;jsessionid=209DDDE2091666D01E30B587FA41804F?ln=primefaces&v=6.0 HTTP/1.1" 200 357791
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:17:22 -0300] "GET /Vendas/clientes/CadastroCliente.xhtml HTTP/1.1" 200 25285
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:17:22 -0300] "GET /Vendas/javax.faces.resource/images/loading.gif.xhtml;jsessionid=209DDDE2091666D01E30B587FA41804F?ln=config HTTP/1.1" 200 2711
