127.0.0.1 - - [08/Feb/2017:23:17:19 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:17:22 -0300] "GET /Vendas/javax.faces.resource/components.css.xhtml;jsessionid=209DDDE2091666D01E30B587FA41804F?ln=primefaces&v=6.0 HTTP/1.1" 200 75403
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:17:22 -0300] "GET /Vendas/javax.faces.resource/images/logo.png.xhtml;jsessionid=209DDDE2091666D01E30B587FA41804F?ln=config HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:17:22 -0300] "GET /Vendas/javax.faces.resource/javascripts/jquery.maskMoney.js.xhtml;jsessionid=209DDDE2091666D01E30B587FA41804F?ln=config HTTP/1.1" 200 17683
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:17:22 -0300] "GET /Vendas/javax.faces.resource/javascripts/mascaraMoeda.js.xhtml;jsessionid=209DDDE2091666D01E30B587FA41804F?ln=config HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:17:22 -0300] "GET /Vendas/javax.faces.resource/javascripts/layout.js.xhtml;jsessionid=209DDDE2091666D01E30B587FA41804F?ln=config HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:17:22 -0300] "GET /Vendas/javax.faces.resource/javascripts/navegacao.js.xhtml;jsessionid=209DDDE2091666D01E30B587FA41804F?ln=config HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:17:22 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:17:40 -0300] "POST /Vendas/clientes/CadastroCliente.xhtml;jsessionid=209DDDE2091666D01E30B587FA41804F HTTP/1.1" 200 23998
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:17:40 -0300] "GET /Vendas/javax.faces.resource/messages/messages.png.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 27245
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:18:24 -0300] "GET /Vendas/produtos/CadastroProduto.xhtml HTTP/1.1" 200 15276
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:18:24 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:18:24 -0300] "GET /Vendas/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:18:24 -0300] "GET /Vendas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:18:24 -0300] "GET /Vendas/javax.faces.resource/styles/conteudo.css.xhtml?ln=config HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:18:24 -0300] "GET /Vendas/javax.faces.resource/styles/layout.css.xhtml?ln=config HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:18:46 -0300] "GET /Vendas/subcategorias/CadastroSubcategoria.xhtml HTTP/1.1" 200 11554
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:18:46 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:18:46 -0300] "GET /Vendas/javax.faces.resource/styles/layout.css.xhtml?ln=config HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:18:46 -0300] "GET /Vendas/javax.faces.resource/styles/conteudo.css.xhtml?ln=config HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:18:46 -0300] "GET /Vendas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Feb/2017:23:18:46 -0300] "GET /Vendas/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
