127.0.0.1 - - [28/Jul/2016:22:16:51 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:16:57 -0300] "GET /primefaces-responsivo/PesquisaClientes.xhtml HTTP/1.1" 200 6699
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:16:57 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/components.css.xhtml;jsessionid=A1911B41AE1C02119BAB0F2C242F52EE?ln=algaworks HTTP/1.1" 200 776
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:16:57 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/custom.css.xhtml;jsessionid=A1911B41AE1C02119BAB0F2C242F52EE?ln=algaworks HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:16:58 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/layout.css.xhtml;jsessionid=A1911B41AE1C02119BAB0F2C242F52EE?ln=algaworks HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:16:58 -0300] "GET /primefaces-responsivo/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=A1911B41AE1C02119BAB0F2C242F52EE?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:16:58 -0300] "GET /primefaces-responsivo/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 200 35069
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:16:58 -0300] "GET /primefaces-responsivo/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=A1911B41AE1C02119BAB0F2C242F52EE?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:16:58 -0300] "GET /primefaces-responsivo/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 25109
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:16:58 -0300] "GET /primefaces-responsivo/javax.faces.resource/primefaces.js.xhtml;jsessionid=A1911B41AE1C02119BAB0F2C242F52EE?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:16:58 -0300] "GET /primefaces-responsivo/javax.faces.resource/javascripts/app.js.xhtml;jsessionid=A1911B41AE1C02119BAB0F2C242F52EE?ln=algaworks HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:16:58 -0300] "GET /primefaces-responsivo/javax.faces.resource/primefaces.css.xhtml;jsessionid=A1911B41AE1C02119BAB0F2C242F52EE?ln=primefaces&v=5.3 HTTP/1.1" 200 70952
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:16:58 -0300] "GET /primefaces-responsivo/javax.faces.resource/images/logo.png.xhtml;jsessionid=A1911B41AE1C02119BAB0F2C242F52EE?ln=algaworks HTTP/1.1" 200 3582
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:16:58 -0300] "GET /primefaces-responsivo/javax.faces.resource/fa/fontawesome-webfont.woff2.xhtml?ln=primefaces&v=5.3?v=4.3.0 HTTP/1.1" 200 56841
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:16:59 -0300] "GET /primefaces-responsivo/javax.faces.resource/images/ui-icons_333333_256x240.png.xhtml?ln=primefaces-bootstrap HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:16:59 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:17:03 -0300] "POST /primefaces-responsivo/PesquisaClientes.xhtml;jsessionid=A1911B41AE1C02119BAB0F2C242F52EE HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:17:05 -0300] "GET /primefaces-responsivo/javax.faces.resource/theme.css.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:17:05 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/layout.css.xhtml?ln=algaworks HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:17:05 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/custom.css.xhtml?ln=algaworks HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:17:05 -0300] "GET /primefaces-responsivo/javax.faces.resource/styles/components.css.xhtml?ln=algaworks HTTP/1.1" 200 776
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:17:05 -0300] "GET /primefaces-responsivo/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:17:05 -0300] "GET /primefaces-responsivo/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:17:05 -0300] "GET /primefaces-responsivo/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:17:05 -0300] "GET /primefaces-responsivo/CadastroCliente.xhtml HTTP/1.1" 200 19145
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:17:05 -0300] "GET /primefaces-responsivo/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:17:05 -0300] "GET /primefaces-responsivo/javax.faces.resource/javascripts/app.js.xhtml?ln=algaworks HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:17:05 -0300] "GET /primefaces-responsivo/javax.faces.resource/images/logo.png.xhtml?ln=algaworks HTTP/1.1" 200 3582
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:17:05 -0300] "GET /primefaces-responsivo/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 70952
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:17:48 -0300] "GET /primefaces-responsivo/javax.faces.resource/images/ui-icons_333333_256x240.png.xhtml?ln=primefaces-bootstrap HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:18:11 -0300] "POST /primefaces-responsivo/CadastroCliente.xhtml HTTP/1.1" 200 4233
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:18:53 -0300] "POST /primefaces-responsivo/CadastroCliente.xhtml HTTP/1.1" 200 5067
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:19:10 -0300] "POST /primefaces-responsivo/CadastroCliente.xhtml HTTP/1.1" 200 4233
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:19:30 -0300] "POST /primefaces-responsivo/CadastroCliente.xhtml HTTP/1.1" 200 5280
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:19:36 -0300] "POST /primefaces-responsivo/CadastroCliente.xhtml HTTP/1.1" 200 17046
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:19:36 -0300] "GET /primefaces-responsivo/javax.faces.resource/messages/messages.png.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 27245
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:19:39 -0300] "GET /primefaces-responsivo/PesquisaClientes.xhtml HTTP/1.1" 200 6378
0:0:0:0:0:0:0:1 - - [28/Jul/2016:22:19:39 -0300] "GET /primefaces-responsivo/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
