0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:50:22 -0300] "POST /Vendas/clientes/CadastroCliente.xhtml HTTP/1.1" 200 21643
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:50:26 -0300] "GET /Vendas/clientes/PesquisaClientes.xhtml HTTP/1.1" 200 12371
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:50:26 -0300] "GET /Vendas/javax.faces.resource/styles/layout.css.xhtml?ln=config HTTP/1.1" 200 3151
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:50:26 -0300] "GET /Vendas/javax.faces.resource/styles/conteudo.css.xhtml?ln=config HTTP/1.1" 200 7143
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:50:26 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 245797
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:50:26 -0300] "GET /Vendas/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 357791
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:50:26 -0300] "GET /Vendas/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 30554
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:50:26 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:50:26 -0300] "GET /Vendas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 75403
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:50:26 -0300] "GET /Vendas/javax.faces.resource/javascripts/jquery.maskMoney.js.xhtml?ln=config HTTP/1.1" 200 17683
0:0:0:0:0:0:0:1 - - [05/Dec/2016:18:50:26 -0300] "GET /Vendas/javax.faces.resource/javascripts/mascaraMoeda.js.xhtml?ln=config HTTP/1.1" 200 175
